Obs,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
1262,35,3,10,2,38.7,9.8,0.19,3.61,0
1263,26,2,1,2,24.1,2.87,0.14,0.55,0
1264,28,1,11,8,27.3,14.3,0.61,3.29,0
1265,40,1,1,21,34.5,11.9,0.11,3.99,0
1266,44,1,28,2,181.9,18.24,21.4,11.78,1
1267,28,2,4,5,23.3,12.49,1.29,1.62,1
1268,42,1,22,16,73.8,3.02,0.29,1.93,0
1269,30,2,4,1,37.9,15.37,2.56,3.26,1
1270,29,2,6,1,34.5,4.11,0.48,0.94,0
1271,37,1,6,4,23.1,3.56,0.08,0.74,0
1272,54,2,12,34,67.4,11.7,0.83,7.06,0
1273,34,1,18,11,127.9,8.94,2.63,8.8,0
1274,34,3,10,2,59,29.62,12.36,5.12,1
1275,45,2,4,3,22.1,17.56,0.62,3.26,1
1276,32,4,1,13,45.7,13.95,2.82,3.55,1
1277,30,1,0,0,20.3,7.86,0.72,0.88,1
1278,33,1,9,2,34.2,8.09,0.58,2.19,1
1279,29,3,7,7,55.3,24.2,3.29,10.09,1
1280,43,2,15,0,29.6,21.29,2.29,4.01,0
1281,49,2,24,7,67.5,3.34,0.66,1.6,0
1282,24,1,7,3,25,7.27,0.35,1.47,0
1283,38,1,5,10,29.7,6.38,0.18,1.71,0
1284,26,2,1,0,27.4,2.18,0.18,0.41,1
1285,56,2,35,14,189.2,2.23,1.5,2.72,0
1286,33,3,5,14,22,10.79,0.88,1.49,0
1287,41,3,8,2,29.9,7.54,0.58,1.68,0
1288,39,1,18,20,66.3,6.8,2.78,1.73,0
1289,28,1,11,6,27.7,8.22,0.78,1.5,0
1290,34,1,15,11,63.5,11.98,2.53,5.07,0
1291,38,2,3,6,38.2,21.52,1.17,7.05,1
1292,26,1,3,0,20.7,12.29,0.85,1.7,1
1293,34,1,3,11,18.9,8.61,0.68,0.95,0
1294,34,3,12,15,38.2,12.95,2.82,2.12,0
1295,28,1,2,4,16.3,7.17,0.77,0.4,0
1296,24,1,7,3,19.3,6.57,0.43,0.83,1
1297,21,2,0,2,17.2,7.52,0.81,0.48,0
1298,32,2,10,13,34,5.06,0.3,1.42,1
1299,29,1,2,3,32.5,8.81,1.36,1.51,1
1300,38,1,16,14,49.8,20.69,2.89,7.42,0
1301,32,1,9,11,21.7,6.95,1.12,0.39,0
1302,37,1,19,6,50.3,0.72,0.14,0.22,0
1303,24,2,2,4,22.3,5.44,0.64,0.57,1
1304,36,3,13,15,206.5,1.5,0.85,2.25,0
1305,28,2,9,4,23.3,9.45,1.24,0.96,0
1306,26,1,8,0,27.5,5.29,0.76,0.69,0
1307,42,1,12,17,41.4,6.95,1.01,1.87,0
1308,37,1,2,14,22.8,13.07,1.22,1.76,1
1309,27,3,5,0,31.3,6.32,0.01,1.97,0
1310,36,3,9,2,35.5,3.7,0.36,0.96,0
1311,41,1,13,15,29.1,5.99,0.89,0.85,0
1312,49,2,20,23,146.2,14.48,3.9,17.27,0
1313,31,1,9,0,30,24.72,2.81,4.61,1
1314,35,2,9,10,57.1,15.63,1.69,7.24,1
1315,29,2,5,0,33.3,14.35,0.46,4.32,1
1316,39,3,9,9,73,7.82,3.57,2.14,1
1317,31,3,8,8,25.8,9.71,0.14,2.36,0
1318,32,1,15,8,80.6,3.86,1.01,2.1,0
1319,26,1,7,7,28.3,3.03,0.43,0.43,0
1320,31,1,13,9,44.3,2.31,0.55,0.47,0
1321,45,2,0,10,26.5,12.83,0.48,2.92,1
1322,30,3,1,1,44,15.35,1.26,5.5,1
1323,32,1,15,11,75,12.03,6.54,2.48,1
1324,43,1,3,4,18.7,4.3,0.29,0.51,0
1325,37,3,11,2,95.6,11.39,0.95,9.94,0
1326,33,2,7,0,23.6,7.67,0.82,0.99,0
1327,29,2,4,6,36.6,31.18,2.17,9.24,1
1328,28,2,0,1,14.5,7.57,0.44,0.66,0
1329,28,1,1,9,14.9,8.3,0.06,1.17,0
1330,33,3,1,12,33.9,12.16,1.47,2.65,1
1331,46,1,2,20,20.6,2.39,0.19,0.3,0
1332,29,1,7,9,25.1,7.72,0.42,1.52,0
1333,26,1,7,5,20.2,16.39,2.23,1.08,1
1334,54,1,21,17,56.4,11.11,0.83,5.43,0
1335,31,3,2,10,49.3,3.75,0.56,1.28,0
1336,34,1,3,10,14.4,10.09,0.49,0.96,0
1337,47,4,18,17,159.7,12.6,1.99,18.13,0
1338,35,3,8,16,44.3,3.54,0.39,1.18,0
1339,25,2,3,3,27.3,11.56,0.94,2.21,0
1340,29,2,4,5,19.1,23.44,0.21,4.27,1
1341,47,5,12,19,56.6,16.06,2.35,6.74,0
1342,32,1,15,4,39.2,6.34,1.08,1.41,0
1343,42,1,19,21,39.1,6.77,1.6,1.05,0
1344,28,1,2,9,24.9,14.1,0.42,3.09,1
1345,25,2,4,2,29.1,14.48,1.46,2.75,1
1346,43,1,11,12,50.9,23.07,5.26,6.48,1
1347,38,2,1,3,24.2,13.4,0.69,2.56,1
1348,24,2,3,4,16.7,10.07,0.65,1.03,1
1349,26,4,1,0,33,12.78,0.33,3.89,1
1350,24,1,8,0,30.2,9.51,0.35,2.52,0
1351,26,1,9,7,25.4,4.97,0.87,0.39,0
1352,51,4,19,22,69.1,10.58,0.77,6.54,0
1353,45,4,18,26,194.6,6.66,6.53,6.43,0
1354,29,1,1,2,17.2,3.92,0.35,0.32,1
1355,36,1,18,15,43.8,16.81,1.55,5.81,0
1356,30,2,4,4,35.5,2.43,0.29,0.57,0
1357,39,1,1,17,35.2,12.89,0.94,3.6,0
1358,39,1,10,5,27.3,1.46,0.07,0.33,0
1359,30,1,5,4,27.7,3.32,0.1,0.82,0
1360,36,1,7,1,49.9,12.05,0.43,5.59,0
1361,38,2,15,3,42.9,5.82,0.17,2.33,0
1362,35,1,11,7,24.9,11.91,0.37,2.59,0
1363,50,1,29,16,138.6,11.58,4.14,11.91,0
1364,46,1,1,15,24.7,6.79,0.56,1.11,0
1365,41,1,13,16,47.8,7.1,0.59,2.8,0
1366,32,4,1,13,32.2,9.73,0.81,2.33,1
1367,31,1,15,6,32.3,15.7,0.66,4.41,1
1368,34,4,1,2,69.8,12.62,2.7,6.1,1
1369,30,2,4,9,21,20.78,1.38,2.98,1
1370,26,3,2,2,41.2,9.8,0.92,3.12,0
1371,36,2,5,7,54.5,8.08,1.78,2.62,0
1372,22,2,0,1,31.2,2.1,0.48,0.17,0
1373,45,1,26,7,85.2,17.08,6.43,8.12,0
1374,28,1,10,6,32.1,3.27,0.15,0.9,0
1375,33,4,5,8,57,12.04,0.4,6.46,1
1376,29,3,5,10,18.3,6.6,0.64,0.57,0
1377,28,2,2,4,30.2,4.74,0.32,1.12,1
1378,41,1,9,9,35.9,11.61,2.28,1.88,0
1379,45,2,6,22,46.4,20.15,0.17,9.18,0
1380,41,2,23,19,79.8,9.29,0.54,6.87,0
1381,25,1,2,5,18.2,19.34,1.22,2.3,0
1382,41,2,23,0,75.9,19.75,11.65,3.34,1
1383,36,1,0,5,15.8,17.96,1.14,1.7,0
1384,47,1,28,17,68.8,14.22,1.58,8.2,0
1385,32,1,8,9,46.3,2.36,0.45,0.64,0
1386,32,1,1,10,15.4,17.1,0.5,2.14,0
1387,22,1,6,3,24.8,16.48,0.47,3.62,0
1388,33,1,11,5,23,15.29,2.03,1.49,0
1389,33,1,5,5,17.7,3.25,0.02,0.56,0
1390,22,1,1,2,20.3,2.87,0.2,0.38,0
1391,43,1,13,10,34.8,4.75,0.4,1.25,0
1392,30,4,5,5,21.6,7.33,0.69,0.9,0
1393,34,1,2,0,21.4,15.76,2.28,1.09,1
1394,41,1,16,4,42.3,9.95,0.95,3.26,0
1395,42,1,16,14,50,13.58,3.25,3.54,0
1396,56,3,19,27,187.3,1.6,1.28,1.72,0
1397,29,2,1,5,24.8,1.32,0.11,0.21,0
1398,30,2,3,6,20.5,11.98,1.78,0.68,0
1399,28,1,12,1,54.9,7.2,0.77,3.19,0
1400,24,1,5,5,20.3,5.87,0.33,0.87,0
1401,34,2,14,9,33.3,6.41,0.32,1.81,0
1402,34,2,9,6,37.1,16.75,1.39,4.82,0
1403,32,2,1,10,40.8,9.37,1.34,2.48,1
1404,26,1,6,6,22.2,8.52,0.25,1.64,0
1405,44,4,8,18,45.3,7.49,1.97,1.43,0
1406,34,2,4,10,76.8,29.66,15.63,7.15,1
1407,53,2,25,10,182.8,10.14,11.9,6.64,0
1408,47,2,17,5,85.7,9.01,3,4.73,0
1409,40,1,15,16,51.7,31.5,4.64,11.64,1
1410,31,1,1,7,31.4,12.01,0.13,3.64,1
1411,37,1,15,15,52,10.5,0.66,4.8,0
1412,37,2,0,3,21.7,5.29,0.13,1.02,0
1413,23,2,3,2,22.5,14.99,0.69,2.68,0
1414,48,3,5,15,55.9,8.05,0.66,3.84,0
1415,43,1,17,18,66.1,8.09,2.26,3.09,0
1416,39,1,23,13,81.2,10.77,2.08,6.66,0
1417,26,1,1,6,25.2,9.94,1.03,1.48,0
1418,27,2,1,6,21.4,10.73,0.91,1.38,0
1419,36,1,11,3,36.3,4.14,0.83,0.67,0
1420,36,1,17,15,72.9,2.21,0.79,0.82,0
1421,48,2,18,29,100.1,23.37,10.53,12.87,0
1422,22,1,4,3,22.7,7.93,0.32,1.49,0
1423,29,1,8,1,25.8,10.2,0.81,1.82,0
1424,24,1,3,5,15.3,11.67,0.63,1.15,0
1425,47,2,21,13,60.2,3.15,0.04,1.85,0
1426,48,2,22,25,103.9,3.93,0.96,3.12,0
1427,33,1,3,4,17.9,5.76,0.16,0.87,0
1428,41,1,0,9,27.5,10.26,0.87,1.95,0
1429,43,1,18,9,47.9,9.82,2.03,2.68,0
1430,58,4,14,15,168.2,8.56,2.03,12.37,0
1431,35,1,4,7,19.8,19.97,1.25,2.7,0
1432,51,4,4,8,27.1,2.13,0.19,0.39,0
1433,25,3,3,2,24.7,4.71,0.64,0.52,0
1434,29,2,5,4,27,5.6,0.81,0.7,0
1435,42,2,2,21,43.6,3.95,1.04,0.68,0
1436,44,2,14,10,47.2,22.83,0.34,10.43,0
1437,31,1,1,12,33.3,16.97,2,3.65,0
1438,29,3,1,4,23.1,5.88,0.54,0.82,0
1439,21,1,3,0,14.4,9.6,0.32,1.07,0
1440,44,1,17,21,111.2,12.97,4.86,9.56,0
1441,40,1,13,7,51.3,13.86,0.71,6.4,0
1442,29,4,2,2,37.6,7.67,0.18,2.7,0
1443,38,1,15,15,77.1,13.05,0.63,9.43,0
1444,30,1,3,4,26.2,5.34,0.88,0.52,0
1445,46,4,3,21,53.8,6.13,1.31,1.99,0
1446,43,2,6,16,32.4,12.5,1.16,2.89,1
1447,37,4,3,10,14.7,29.95,0.82,3.58,1
1448,33,1,12,3,41.7,27.1,5.83,5.47,1
1449,32,2,13,8,31.1,18.69,3.53,2.28,0
1450,42,3,12,18,69.7,5.05,2.01,1.51,0
1451,41,2,22,9,46.1,11.21,1.19,3.98,0
1452,30,2,0,9,20,4.62,0.27,0.66,1
1453,39,1,6,13,34.4,2.9,0.05,0.95,0
1454,37,2,5,17,34,16.93,1.86,3.9,1
1455,27,1,3,6,20.5,2.68,0.22,0.33,0
1456,33,2,14,11,40.1,7.62,0.54,2.52,0
1457,47,1,23,8,78.1,2.39,1.07,0.8,1
1458,29,4,1,9,23.5,12.65,1.34,1.63,0
1459,34,3,13,7,83.3,7.71,2.03,4.39,0
1460,43,2,11,7,34.6,14.33,0.66,4.3,0
1461,26,1,5,6,19.8,20.68,2,2.09,1
1462,31,2,5,3,56.6,11.1,0.74,5.54,0
1463,45,1,2,21,30,14.37,1.92,2.39,1
1464,26,1,9,2,18.2,26.31,3.17,1.61,0
1465,25,1,4,0,19.3,5.52,0.39,0.67,0
1466,45,3,13,8,94.8,11.78,1.36,9.81,0
1467,29,1,2,0,29.4,6.15,0.71,1.09,1
1468,41,1,25,19,79.3,13.15,3.67,6.76,0
1469,24,1,7,1,18.2,5.71,0.57,0.47,0
1470,40,5,8,16,44,8.95,2.05,1.89,0
1471,34,5,3,12,98.8,3.68,1,2.63,0
1472,35,2,1,13,37,2.31,0.21,0.65,0
1473,51,3,7,4,22,7.6,0.2,1.47,0
1474,49,1,5,6,32.4,5.33,0.51,1.22,0
1475,44,1,4,16,25.1,21.28,0.83,4.51,1
1476,24,2,3,1,17.6,12.57,0.89,1.33,1
1477,27,3,3,5,21.9,8.8,0.83,1.09,0
1478,23,2,0,1,21.4,1.33,0.13,0.16,0
1479,44,1,1,4,30.2,2.43,0.22,0.51,0
1480,49,1,29,22,202,13.76,10.92,16.87,0
1481,33,2,5,13,48.8,5.44,0.48,2.17,0
1482,31,2,4,12,21.1,17.75,1.42,2.32,1
1483,39,3,8,14,41.1,8.14,1.3,2.04,0
1484,31,1,10,5,48.3,7.22,1.28,2.21,0
1485,35,1,2,11,21.3,7.82,1.23,0.44,0
1486,23,1,1,1,18.3,42.26,4.66,3.07,1
1487,43,2,22,22,142.6,3.36,0.34,4.45,0
1488,37,1,9,7,26.8,1.37,0.08,0.29,0
1489,37,2,10,12,40.3,13.33,2.04,3.34,0
1490,22,2,1,3,26.5,4.48,0.27,0.92,0
1491,31,3,6,9,109.4,10.84,4.44,7.42,1
1492,31,2,3,3,14.8,15.38,1.03,1.24,1
1493,26,4,2,2,23.4,23.43,3.67,1.81,1
1494,31,1,1,11,25.2,10.34,0.66,1.94,0
1495,33,1,8,10,23.2,12.26,0.57,2.28,0
1496,38,1,19,8,36.3,6.28,0.9,1.38,0
1497,46,4,4,16,44.9,16.73,3.04,4.47,1
1498,38,1,5,12,20.3,13.98,1.73,1.11,0
1499,27,2,2,7,29.5,10.8,1.62,1.56,1
1500,33,2,13,5,51.2,3.1,0.67,0.91,0
1501,27,2,8,3,27.9,16.4,2.26,2.32,1
1502,28,1,5,7,32,13.57,1.19,3.16,0
1503,38,1,0,4,33.4,14.96,0.86,4.13,0
1504,40,3,9,10,200.5,3.38,2.04,4.74,0
1505,34,2,14,3,31.4,11.37,1.12,2.45,0
1506,47,4,2,6,64,14.99,2.55,7.04,0
1507,40,1,9,9,39.7,17.98,1.78,5.36,0
1508,39,2,16,9,77.3,15.06,0.35,11.29,0
1509,42,2,3,7,47.1,15.67,2.32,5.06,1
1510,35,1,11,3,61.7,5.29,1.77,1.5,0
1511,42,2,6,23,42.8,6.3,2.03,0.67,0
1512,46,1,23,23,127.5,2.88,0.92,2.75,0
1513,23,1,3,0,24,14.33,2.28,1.16,0
1514,34,1,6,0,28,19.89,2.81,2.76,0
1515,30,1,2,1,28.2,8.39,0.67,1.7,0
1516,46,3,0,11,34.1,8.84,1.12,1.89,1
1517,23,1,2,1,18.4,1.5,0.02,0.25,0
1518,34,1,13,5,30,15.48,2.06,2.58,1
1519,26,1,7,1,31,15.01,1.48,3.17,0
1520,26,1,3,2,19.9,1.92,0.19,0.19,0
1521,32,1,11,7,43.6,2.52,0.51,0.59,0
1522,26,1,2,4,22.3,11.22,1.47,1.03,0
1523,24,1,2,1,17.4,13.5,0.78,1.57,1
1524,31,1,10,10,38.6,1.6,0.06,0.56,0
1525,37,1,13,15,45.9,28.12,3.89,9.02,1
1526,23,3,1,0,74.3,17.15,2.79,9.95,1
1527,36,2,17,2,116.3,5.56,1.22,5.24,0
1528,30,1,1,0,21.4,9.03,0.48,1.46,1
1529,50,1,21,6,53.1,4.65,1.04,1.43,0
1530,45,3,6,0,50.9,16.17,0.57,7.66,0
1531,31,3,9,6,34,7.36,1.41,1.09,1
1532,39,3,2,6,23.3,12.33,1.17,1.7,1
1533,35,4,0,16,50,6.96,0.83,2.65,0
1534,36,3,13,12,143.1,15.82,2.78,19.85,0
1535,37,1,5,15,23.9,33.64,0.22,7.82,1
1536,41,4,13,18,96.4,6.17,1.68,4.27,0
1537,35,1,5,14,20.5,4.7,0.17,0.79,0
1538,35,3,5,0,64.3,4.1,1.36,1.28,1
1539,27,3,5,7,51.6,6.42,0.81,2.5,1
1540,38,1,11,13,40.6,6.54,0.52,2.14,0
1541,42,1,2,23,20.1,3.73,0.19,0.56,0
1542,35,1,12,1,31.5,10.71,0.61,2.77,0
1543,44,1,5,11,24.1,1.55,0.07,0.31,0
1544,29,3,8,9,63.9,8.41,1.34,4.03,0
1545,49,2,18,2,127.2,1.52,0.58,1.36,0
1546,47,1,23,9,100.2,6.99,0.99,6.02,0
1547,32,1,8,7,34.7,7.66,1.67,0.99,0
1548,42,2,14,18,108.5,2.47,0.61,2.07,0
1549,37,1,13,10,46,4,0.54,1.3,0
1550,27,2,9,8,33.8,17.09,0.8,4.97,0
1551,47,2,22,2,54.3,14.33,6.99,0.79,1
1552,34,1,2,12,18.8,7.16,0.55,0.8,0
1553,28,1,1,8,14.5,24.01,1.09,2.4,0
1554,38,2,18,11,72.5,3.07,0.18,2.05,0
1555,41,1,15,4,49.1,2.31,0.7,0.43,0
1556,28,1,7,6,20,9.78,0.77,1.19,0
1557,39,1,17,1,46.1,11.27,2.51,2.69,0
1558,30,1,7,3,40,9.84,0.84,3.1,0
1559,27,2,3,7,27.2,8.12,0.25,1.96,0
1560,30,3,7,10,32.9,20.34,2.74,3.95,0
1561,22,2,1,2,20.3,4.1,0.1,0.73,0
1562,32,4,4,12,37.3,1.44,0.34,0.2,0
1563,39,1,11,15,43.5,8.31,0.74,2.88,0
1564,42,1,7,19,30.5,7.51,1.26,1.03,0
1565,34,2,1,9,19.2,2.24,0.19,0.24,0
1566,28,1,8,9,31.5,17.51,2.15,3.36,1
1567,31,1,6,3,26.6,2.45,0.24,0.41,0
1568,54,2,33,4,300.6,21.53,22.85,41.87,1
1569,31,1,14,11,50.3,6.45,0.85,2.4,0
1570,28,1,10,5,22.8,12.07,0.81,1.94,0
1571,41,1,2,12,27.3,15.47,1.1,3.12,0
1572,44,1,7,20,27.5,13.79,1.71,2.09,0
1573,25,1,0,0,19.3,2.79,0.09,0.45,0
1574,44,2,14,7,96.9,12.16,7.53,4.25,0
1575,32,1,16,8,31.4,8.97,2.19,0.63,0
1576,40,1,14,9,52.4,8.17,2.64,1.64,0
1577,31,1,5,9,31.2,9.13,1.07,1.78,0
1578,21,1,1,1,12.5,13.93,0.33,1.41,0
1579,23,3,0,0,20.3,27.69,3.43,2.19,1
1580,36,1,11,14,57.9,11.61,1.84,4.88,0
1581,26,2,0,0,25.5,5.7,0.41,1.04,1
1582,37,2,0,7,16.3,3.1,0.22,0.28,0
1583,34,1,18,0,70.7,3.04,0.38,1.77,0
1584,44,1,15,2,42.4,8.67,1.57,2.1,0
1585,31,2,12,4,73.5,3.51,0.43,2.15,0
1586,39,1,4,2,22.6,6.25,0.29,1.12,0
1587,51,4,24,5,330.7,5.11,2.01,14.89,0
1588,40,4,15,9,38.5,9.59,0.2,3.5,0
1589,40,1,8,18,25.7,12.69,0.53,2.74,0
1590,27,1,8,7,33.6,23.13,5.61,2.16,0
1591,31,1,1,11,15.5,18.4,1.86,1,1
1592,45,2,4,7,59.3,8.78,2.73,2.47,0
1593,46,1,27,24,176.3,4.55,1.71,6.31,0
1594,29,1,0,10,37.6,24.47,6.06,3.14,1
1595,40,2,17,2,73.3,8.69,2.25,4.11,0
1596,27,1,8,7,17.3,7.84,0.21,1.14,0
1597,44,1,23,7,75.6,9.6,0.95,6.31,0
1598,30,1,2,2,20.7,8.18,0.49,1.21,1
1599,31,3,4,12,34.1,19.29,4.01,2.57,1
1600,36,1,3,12,23.3,16.88,1.43,2.51,0
1601,34,3,11,15,83.8,23.71,6.42,13.45,1
1602,24,2,2,5,19.5,12.15,0.35,2.02,0
1603,25,1,8,1,28.1,12.01,0.02,3.35,0
1604,38,2,15,7,47.6,0.27,0.01,0.12,0
1605,37,4,11,5,76.1,3.32,1.04,1.49,0
1606,53,2,16,34,138.9,1,0.46,0.93,0
1607,25,2,7,6,30.8,3.82,0.2,0.98,0
1608,51,1,34,17,433,4.25,4.49,13.91,0
1609,29,1,1,6,19.6,7.79,0.51,1.02,0
1610,28,1,12,8,24.8,7.24,0.67,1.13,0
1611,36,3,9,0,63.9,1.67,0.54,0.53,0
1612,35,2,14,3,53.7,4.46,1.47,0.92,0
1613,25,1,9,1,22.9,18.59,0.43,3.82,0
1614,34,1,6,1,25.1,18.14,1.88,2.67,1
1615,23,2,3,2,27.2,1.52,0.24,0.18,1
1616,31,1,6,2,21.8,6.94,1,0.52,0
1617,40,3,13,13,37.7,8.47,0.88,2.32,0
1618,41,1,2,18,22.2,7.78,0.72,1.01,0
1619,42,1,21,22,61.4,1.6,0.22,0.76,0
1620,31,1,15,4,65.7,16.45,7.01,3.79,1
1621,44,1,26,10,121.7,6.53,2.03,5.91,0
1622,33,2,8,7,26.9,6.88,1.33,0.52,0
1623,41,1,11,13,25.1,6.75,0.16,1.53,0
1624,35,1,0,10,37.1,1.29,0.18,0.3,0
1625,46,1,24,10,80.9,9.83,1.2,6.75,0
1626,23,1,5,3,25.8,6.75,0.21,1.53,0
1627,30,3,0,1,18.5,18.29,0.78,2.61,1
1628,57,1,11,20,39.8,9.48,1.57,2.2,0
1629,37,1,19,15,59.8,8.53,1.39,3.71,0
1630,24,1,3,1,23.4,14.56,1.24,2.17,0
1631,33,1,2,6,18.9,0.78,0.08,0.07,0
1632,44,3,21,6,224.8,12.45,16.93,11.06,1
1633,39,1,4,4,37.4,13.88,2.92,2.27,0
1634,36,2,9,5,28.1,5.34,0.18,1.32,0
1635,45,2,10,4,94.1,17.89,6.55,10.29,1
1636,30,4,2,5,53.5,5.76,0.84,2.24,1
1637,25,2,1,3,28,5.02,0.6,0.81,0
1638,31,1,0,6,28.6,6.88,0.55,1.42,1
1639,43,1,14,24,66.2,10.38,2.14,4.73,0
1640,40,3,4,11,49.9,6.01,0.49,2.51,0
1641,33,1,5,4,22.4,12.29,0.98,1.77,1
1642,26,2,5,0,18.8,5.07,0.15,0.81,0
1643,29,1,10,0,25.7,9.85,1.65,0.89,0
1644,38,1,21,17,91.7,2.4,0.42,1.78,0
1645,54,1,5,31,57.6,26.38,2.58,12.61,1
1646,28,1,4,6,20.2,6.97,0.46,0.95,0
1647,32,1,5,1,15.5,2.38,0.01,0.36,1
1648,23,1,1,3,14.5,5.07,0.21,0.52,0
1649,32,1,8,8,45.4,8.03,0.13,3.52,0
1650,42,1,22,4,110.9,7.7,2.78,5.76,1
1651,21,2,3,1,16.7,10.63,0.54,1.23,0
1652,27,1,5,2,28.7,14.85,1.14,3.12,0
1653,50,1,9,26,36.9,5.4,0.69,1.31,0
1654,27,1,3,3,18.6,12.31,0.49,1.8,1
1655,34,1,1,14,24.1,7.7,0.33,1.53,0
1656,33,2,7,0,87.3,11.89,1.09,9.29,0
1657,22,1,1,0,15.8,5.57,0.06,0.82,0
1658,30,4,2,7,41.2,25.88,6.34,4.32,1
1659,32,1,10,11,42.9,11.81,0.78,4.29,0
1660,40,1,8,17,31.4,3.82,0.54,0.65,0
1661,40,1,18,12,124.8,34.2,4.95,37.73,1
1662,40,1,18,17,43.1,19.18,4.6,3.67,0
1663,42,1,13,21,52.2,9.93,1.22,3.96,0
1664,28,1,10,7,35.6,3.03,0.62,0.45,0
1665,37,1,11,1,32.9,6.5,0.82,1.32,0
1666,50,1,32,0,151.7,6.02,1.75,7.38,0
1667,40,1,16,21,74.9,16.23,3.04,9.12,0
1668,41,2,12,2,55.6,36.8,7.59,12.87,1
1669,47,1,20,21,44.7,17.88,3.47,4.52,0
1670,22,1,3,2,15.7,7.12,0.12,1,0
1671,36,1,5,16,26.3,15.49,1.11,2.96,0
1672,29,2,9,5,34.8,9.54,0.68,2.64,1
1673,55,1,24,16,110.7,12.97,7.28,7.08,0
1674,39,1,0,12,17.2,5.12,0.11,0.77,0
1675,34,3,8,13,53.4,15.27,2.27,5.89,0
1676,29,2,8,3,38,9.56,1.6,2.03,0
1677,43,2,13,11,36.6,10.75,2.33,1.6,0
1678,25,4,2,0,25.7,5.44,0.56,0.84,1
1679,40,2,12,5,56.5,10.35,2.52,3.33,1
1680,34,1,4,5,21.8,14.66,0.85,2.35,1
1681,45,2,20,19,68.2,2.21,0.54,0.97,0
1682,49,1,12,25,43.9,4.8,0.91,1.2,0
1683,33,2,4,3,24.9,12.31,1.35,1.72,0
1684,46,1,8,1,33.9,20.67,1.84,5.16,0
1685,42,1,14,4,41.1,9.13,0.55,3.2,0
1686,43,4,1,9,70.8,17.73,3,9.55,1
1687,36,1,11,6,31.3,12.35,1.37,2.5,0
1688,30,2,4,9,42.6,8.43,1.49,2.1,1
1689,47,4,16,0,172.6,14.44,19.59,5.33,1
1690,31,1,8,12,40.6,2.74,0.17,0.95,0
1691,30,1,1,7,23.8,19.15,1.57,2.99,0
1692,43,1,13,10,34.8,3.28,0.1,1.04,0
1693,48,4,5,16,38.7,14.54,0.81,4.82,0
1694,44,1,5,6,26.3,11.28,1.01,1.96,1
1695,33,5,0,8,20.2,11.13,0.11,2.14,0
1696,46,1,28,22,174.4,20.58,7.43,28.46,0
1697,31,2,0,4,51.8,9.21,1.64,3.13,0
1698,37,1,14,2,32.2,11.5,1.27,2.43,0
1699,29,1,5,3,17.5,8.1,0.3,1.11,0
1700,24,2,2,2,22.2,19.91,0.54,3.88,1
1701,37,2,7,4,39.6,11.84,2.58,2.11,0
1702,55,2,7,3,55,7.8,0.64,3.65,1
1703,35,1,7,11,22.3,10.24,0.98,1.31,0
1704,36,2,14,13,50.4,6.08,0.74,2.33,0
1705,35,1,3,0,21,15.67,1.25,2.04,1
1706,46,3,24,6,84.9,13.46,2.62,8.81,0
1707,48,3,25,22,142.6,4.83,2.82,4.07,0
1708,37,3,3,6,34.6,15.13,2.28,2.95,1
1709,50,2,2,0,39.9,7.59,0.69,2.33,1
1710,36,3,4,16,48.3,6.79,1.01,2.27,0
1711,23,1,1,2,20.3,21.72,2.15,2.26,1
1712,40,1,20,6,70,4.32,1.4,1.62,0
1713,25,3,1,0,21.8,4.92,0.18,0.9,0
1714,32,1,9,7,42.8,11.17,1.07,3.71,0
1715,38,2,13,3,47.4,8.44,3.35,0.65,0
1716,32,2,9,6,40.5,15.41,3.45,2.79,1
1717,47,2,12,6,103.9,6.95,3.88,3.34,0
1718,31,2,8,0,55.2,2.29,0.05,1.21,0
1719,50,1,21,7,74.4,5.64,1.07,3.13,0
1720,48,1,5,21,18.8,5.12,0.46,0.5,0
1721,40,2,21,2,59,9.76,3.34,2.42,0
1722,40,1,21,20,58.6,7.36,0.28,4.03,0
1723,23,1,0,1,17.6,6.61,0.42,0.74,1
1724,49,2,30,8,96.6,15.12,3.4,11.2,0
1725,42,2,3,2,61.3,0.96,0.19,0.4,0
1726,32,2,6,9,43.3,15.11,0.23,6.31,0
1727,32,1,10,10,64.5,8.74,0.88,4.76,0
1728,38,2,11,3,63.2,7.72,0.99,3.89,0
1729,39,2,11,1,30,17.21,1.75,3.42,0
1730,26,4,3,2,41.1,7.03,0.51,2.38,0
1731,32,1,5,4,20,15.12,0.41,2.62,1
1732,38,1,16,3,44.8,24,3.35,7.4,1
1733,41,4,14,12,41.1,16.38,4.84,1.89,1
1734,49,1,7,21,60.6,8.74,0.81,4.49,0
1735,30,2,10,8,21.6,2.65,0.27,0.3,0
1736,46,2,1,13,24.2,12.48,0.96,2.06,0
1737,31,2,12,2,54.9,1.21,0.14,0.53,0
1738,31,1,6,9,35,14.35,0.99,4.03,0
1739,27,1,4,4,23.6,17.52,0.76,3.37,0
1740,43,1,17,0,45.8,9.71,2.15,2.3,0
1741,45,1,2,6,15.4,24.45,1.72,2.04,1
1742,41,1,11,2,29.9,7.45,0.74,1.49,0
1743,37,1,2,4,25.9,16.71,0.5,3.83,0
1744,56,1,9,13,29.3,10.03,1.51,1.43,0
1745,44,2,17,4,103.8,9.1,3.85,5.59,0
1746,51,2,24,7,133,15.07,6.69,13.35,0
