"Title","Review"
"Fabulous!","Absolutely superb at this price!Pros: Best LCD screen I've used and it doesn't hurt my eyes. Awesome clarity and viewing angles.Good light photography, but don't expect too much from the Macro modeBattery lasts 1 and a half day on average use, charges ridiculously fast!Will get Android 10 and MIUI 11 updateSturdy build quality despite having glass on both backs. I'm using only a back cover and the Gorilla Glass 5 is enough for regular drops and slips, but use a tempered glass if you wa..."
"Brilliant","Very nice phone camera awesome processor is very good i am gift for my wife birthday and my wife so happy thanku flipkart value for money this phone is very nice"
"Mind-blowing purchase","Awesome camera giving clear sharp picturesBattery backup is also pretty good and display is very smooth and niceBut the price in flipkart is little more"
"Good choice","Very satisfied with this product. This is really a value for money product. Camera quality is just awesome like a DSLR. Display quality is awesome. Build quality is too good. Just one concern battery quality may be some better quality. But overall this phone is really a smartphone.I love it"
"Highly recommended","Awesome phone  camera are super perfect battery is too good"
"Terrific","Almonds In The Price Of Groundnuts, but... Front CAMERA is not upto the mark as of now (whitish tint from some angle below the image), maybe a software update soon can fix this. Rest all is 5 out of 5. Will update about the gaming & battery performance later on (downloading PUBG). Also, I've Attached some rear camera samples below, have a look...                                             Gaming Review After 10 days of extensive usage : I have played PUBG in High Settings for continuous 4:..."
"Good choice","BEAST in the market. First time I am using Redmi phones and I am happy with its design, speed and performance. Everything is perfect except battery is draining fast. I have seen people are not happy with camera quality but I don't see issue with that at this price (I am not saying this is the best camera quality). Just Clicking on camera button can't give you best 48 megapixel picture, It totally depends on skills of the person behind the camera. Camera settings are customisable use it as per..."
"Worth every penny","Bought the K20 pro on the Alpha sale.I was a proud redmi note 4 user for years. still the redmi note 4 is running superbly. but since all my friends have new versions of mobile ,why should I be late.that's why I have chosen the redmi k20 pro 8gb, 256gb version.it's super fast, blazing smooth. excellent performance.camera have to improve by software updates i think. though it's nice but still feeling there is room for software update in the camera department.otherwise k20 pro is awesome..."
"Just wow!","pros :descent camera performance : better than other redmi performance so think again higher processing : playing pubg all day n night (automatically closed once in a while)fast charging : using 18 w charger felt no need of 27 w charging till it supported though 18 w can charge your phone b4  1.5 hrs.optimized battery : very less battery drain even if you use full brightness , always on display .multimedia : movies and series runs like charm high quality amoled display gives pitch bl..."
"Perfect for the gamer who thinks he's a photographer","Pros - 1. The pricing. You won't find a phone this fast, with camera set up this good anywhere else right now.2. Did I mention how fast this phone is? Multitasking is a breeze. Haven't faced any lag in any games. And the phone didn't heat up that much either. It did get warm, but it was barely noticeable. 3. Camera set up - No, the picture quality is not as great as Pixel 3, but what other phone is? Almost as good as S10+ (I DID have to go to the settings and turn down the saturation from..."
"Mind-blowing purchase","Best among Snapdragon 855Super smoothThank you flipkart for the fast 1 day deliveryValue for  Money deviceLoving it... Never faced any ads till now...Installed Google camera, Even the stock camera is really Good....The pop up camera is next level...I don't know why Xiaomi removed the No 1 smartphone sticker from the box...Only disappointed with the surprise mentioned by manu for alpha sale users.... Overall it's a killer.... They could have included the 27 watt fast charger with it ..."
"Wonderful","Review after about 2 weeks:I'm in love with this phone! The battery life is just nuts! I have the plan optimised to my preferences, and with my usage, it lasts me a full day plus 15-16 hours (picture attached)... Yes! Imagine that!!! I knew that the battery life would be good, but THIS good. I love everything about it, just that one quick reply feature on the lockscreen that's missing, and I'm guessing it'll be a quick software fix, so no big deal at all! I removed all the bloat using the X..."
"Best in the market!","fast delivery by flipkart and it's the best phone in this world  which money can buy without pinching on our pockets. kudos to redmi, Xiaomi and flipkart.  love you lots..."
"Terrific","Giving review after one month use .suberb phone, awesome look, excellent camera, just like a god phone, very high level performance.Pros.1- Awesome 48 mp camera with triple cameras2- Processor 855 Snapdragon runs very fast3- 4000 mah excellent battery4- Wonderful process of Miui 10 5- Phone's look is awesome6- Pop up selfie camera is brilliant7- DSLR mode is amazingCons. 1- Not at all"
"Worth every penny","Awesome Build Quality.Camera is out of the world.Haven't seen such smoothness in a long time (using 8+256 variant)The Charger that comes in the box does support Fast ChargingOverall My review: Beast Phone in this range."
"Good quality product","Display quality awesomeBut Camera quality is not good.."
"Highly recommended","Best quality"
"Don't waste your money","Waste & not worth for money"
"Perfect product!","Like the name it's 10/10 rating .. mi 10 No ads, thanks mi for the first time.Google dialer, calender,one etc seems pretty good.Battery backup  is superb.Only trouble i found that there is no 3.5 h jack & it's very difficult to use with a dongle always. Yeah its TWS time na..so let's ignore it."
"Utterly Disappointed","Very bad quality front camera 108 mp rear camera but only 10x zoom"
"Terrific purchase","Camera quality awesome"
"Worth every penny","Superb phone"
"Perfect product!","Awesome Mobile phone ,8/256 purchased at 50k . Very reasonable price. Thanks Flipkart and seller Center one."
"Great product","Awesome phone under this price range and performance is also as per expected.Thanks to Flipkart"
"Awesome","It's awesome display not so new type but phone camera is awesome performance is better delivered on time amazing must buy"
"Must buy!","Excellent camera excellent performance ..Redmi given tough competition for all brands in this priceVery good display and lag free for pubg ...Finally it's worth of money...???"
"Wonderful","Giving my review after 1 month of usage. Hope it helps.This is not a usual budget phone from Redmi and you will definitely feel that as soon as you hold the phone in your hand. If you upgrade to this phone from a budget 10-15k phone then you will fill the difference instantly but if you use this after using Oneplus then you might not feel the same. Redmi has tried everything to give a premium quality phone but still it lacks behind OnePlus phone in some aspects.DISPLAY: 9/10Amoled displa..."
"Just wow!","nice phone battery is good camera is good front camera is excellent back is just average night mode is cool...and over all product is perfect"
"Great product","Detailed review after 5 days of use K20 Pro , No,Killer 2.OPossitivesSD 855 Provides you the dazzling performance it will work like a charm .not even one second of lag.Camera - best in the market at this price range ,pop up is also good enough.Amoled display is just amazing screen is vibrant 1080p videos will look amazing and full scale display is also good but curve at the bottom is more (not filling the display fully)(means the clearance at the bottom is more )Even though having..."
"Worth the money","Mobile best but battery draning very fast camera quality very good but on 48 mp there is not be zoom photo, performance good"
"Highly recommended","very good photography in this mobile awesome features and low light photography so cool and description must be important so I give this review to this phone very cool phone and #flagship killer  #belive the hype #the true master #pubg users must buy this phone lag free mobile60 FPS and HDR support in ping mobile....I loved it..."
"Must buy!","Those who says k20 pro is overpriced are nincompoop.Pros-Excellent camera , portrait mode is awesome.Low light camera is good but one plus is better.sd855 is beast.Best processor.Design is awesome.Every colour veriant have someting special.Display is awesome.You can watch Netflix on Hd.L1 support out of the box.App Drawer is also available out of the box because it is running on poco launcher 2.Charging time is 1hr 28min from 0 to 100.Cons-No 27W charger in the box.No IR..."
"Good choice","overall best packagefingerprint unlock need improvement (time taken is ok but not much accurate- 7/10 success unlock)given charger can improved by built qualityusb type-c cable is not good (it is like local cable and packed)back case is very nicesliding camera is slightly slowsome heating while chargingbugs present can removed by updatesuper slow motion vedio some time frame freeze issueadds still present and irritatingoverall best phone"
"Mind-blowing purchase","This phone looks very good with it's unique degine.Very fluid performance.Cameras are above the my expectations love those triple cameras.Display is gorgeous.Fast charging with In box charger is pretty good & and satisfied.Speakers are loud enough.At least performance is top notch with snapdragon 855 chipset..It also has network aggression & Dual GPS..Earpeas are also loud enough..My first impressions are pretty good."
"Terrific","Almonds In The Price Of Groundnuts, but... Front CAMERA is not upto the mark as of now (whitish tint from some angle below the image), maybe a software update soon can fix this. Rest all is 5 out of 5. Will update about the gaming & battery performance later on (downloading PUBG). Also, I've Attached some rear camera samples below, have a look...                                             Gaming Review After 10 days of extensive usage : I have played PUBG in High Settings for continuous 4:..."
"Good choice","BEAST in the market. First time I am using Redmi phones and I am happy with its design, speed and performance. Everything is perfect except battery is draining fast. I have seen people are not happy with camera quality but I don't see issue with that at this price (I am not saying this is the best camera quality). Just Clicking on camera button can't give you best 48 megapixel picture, It totally depends on skills of the person behind the camera. Camera settings are customisable use it as per..."
"Worth every penny","Bought the K20 pro on the Alpha sale.I was a proud redmi note 4 user for years. still the redmi note 4 is running superbly. but since all my friends have new versions of mobile ,why should I be late.that's why I have chosen the redmi k20 pro 8gb, 256gb version.it's super fast, blazing smooth. excellent performance.camera have to improve by software updates i think. though it's nice but still feeling there is room for software update in the camera department.otherwise k20 pro is awesome..."
"Just wow!","pros :descent camera performance : better than other redmi performance so think again higher processing : playing pubg all day n night (automatically closed once in a while)fast charging : using 18 w charger felt no need of 27 w charging till it supported though 18 w can charge your phone b4  1.5 hrs.optimized battery : very less battery drain even if you use full brightness , always on display .multimedia : movies and series runs like charm high quality amoled display gives pitch bl..."
"Perfect for the gamer who thinks he's a photographer","Pros - 1. The pricing. You won't find a phone this fast, with camera set up this good anywhere else right now.2. Did I mention how fast this phone is? Multitasking is a breeze. Haven't faced any lag in any games. And the phone didn't heat up that much either. It did get warm, but it was barely noticeable. 3. Camera set up - No, the picture quality is not as great as Pixel 3, but what other phone is? Almost as good as S10+ (I DID have to go to the settings and turn down the saturation from..."
"Mind-blowing purchase","Best among Snapdragon 855Super smoothThank you flipkart for the fast 1 day deliveryValue for  Money deviceLoving it... Never faced any ads till now...Installed Google camera, Even the stock camera is really Good....The pop up camera is next level...I don't know why Xiaomi removed the No 1 smartphone sticker from the box...Only disappointed with the surprise mentioned by manu for alpha sale users.... Overall it's a killer.... They could have included the 27 watt fast charger with it ..."
"Wonderful","Review after about 2 weeks:I'm in love with this phone! The battery life is just nuts! I have the plan optimised to my preferences, and with my usage, it lasts me a full day plus 15-16 hours (picture attached)... Yes! Imagine that!!! I knew that the battery life would be good, but THIS good. I love everything about it, just that one quick reply feature on the lockscreen that's missing, and I'm guessing it'll be a quick software fix, so no big deal at all! I removed all the bloat using the X..."
"Best in the market!","fast delivery by flipkart and it's the best phone in this world  which money can buy without pinching on our pockets. kudos to redmi, Xiaomi and flipkart.  love you lots..."
"Awesome","l purchased this phone during Alpha sale on 17 july and got delivery on 20 july. Therefore, review is based upon 11 days of usage.Build Quality : Feels premium with pop-up camera and gorilla glass both on front and back side. Makes anybody to turn-around for its attractive looks. Feels a bit on heavy side with 8.8 mm thickness. Xiaomi has provided case inside box which is quite good, but it hides the premium looks of this masterpiece. Hence, i applied transparent silicon cover which makes it..."
"Worth every penny","I've been using this Redmi K20 pro for past 4 months. Here are my few observations, pros and cons.1.Build & Design : As the premium phones goes either with Glass back or Metal back, this one goes with both. Fire rendered design below the glass make more attractive. But the weight is bit heftier, although most of the flagships weighs more, so it's not a big problem.2. Battery: Redmi k20 pro lasts a day easily for a medium user. But a heavy user(who can play high end gaming and video render..."
"Excellent","Guys i am writing this review after 48 hours of usgae.So that read first then buy if u want..I am a redmi user from last 5 years , so on basis on that i want to say that this phone is awesome.Display - 8/10, really good display but not amoloed.Front Camera - 7/10, go for note 7 pro for best camera.Rear Camera - 8/10, really good but not as 7 pro.Processor - 10/10, just excellent. 660@2.2gHzBattery - 8/10, whole day battery in heavy usage.Speakers - 8/10, just fine quality.User Interf..."
"Pretty good","Redmi note 7One day delivery :)Looks premium,feels good,Display looks fantastic, good colours.camera is quite good and satisfactory if there is proper light.Snapdragon 660 is an already proven tech no complains so far,4000mah battery is good enough. great phone for the price range. Earphone jack Sound quality is good could have had dedicated memory slotcould have given a more powerful charger. as it supports quick charge 4.0speakers aren't great."
"Worth the money","*nice phone *                                                                                   Here the detailed review of this phone                                                          Camera :8/10                                                                                Battery :9/10                                                                                  storage :9/10                                                                                  Display:9/10           ..."
"Highly recommended","Very osam redmi note 7 mobile, good color, good camera, , good  & nice screen, good  performance, value of money. Totally 10 of 10.. Thank you redmi"
"Brilliant","pretty good phone with good cameras and very good performance and good battery backup.worth buying."
"Excellent","I'm not much of a critic, but more of a fair reviewer. I'll put in some details as well. Let's get started. Btw, I have the 4GB ram variant and Onyx Black back. Camera:- Seriously, it is better than I expected. After going through a plethora of reviews regarding the sub-par and surprisingly pathetic performance of the Camera(and recommendations of buying Pro instead), I did not expect too much. But the Camera, for its price range as well as generally speaking, is quite good. Even the f..."
"Simply awesome","Good clarity of images, nice performance, overall good for 12k. worth of penny."
"Value-for-money","Good Product Pros. - Nice display, good battery,  good camera,  well optimize, and value for money products. 4gb variant is not so nice deal. Gcam experience is great. Cons. - Internet speed is very slow. GPS is very poor.My opinion - Can go for it,  3gb variant will be a ultimate deal."
"Terrific purchase","wonderful mobile for this price rangei loved its display and fabulous camera performance A total value for money phone that everyone can afford"
"Terrific purchase","Nice mobile and nice looking good superb xiaomi and redmi and filpkart thanks 4 all"
"Good choice","Hi Guys,  I am writing this review though I know thousands of us has already reviewed this phone and it's already a superstar in the category.  so only sharing My views and experience with the phone. I am actively using the phone since last 16 days and here is the experience. so lets start:1. Main USP of phone is it's Camera and yes MI note 7 pro is really a PRO in this area.  see the pics attached if you notice there are two pics of Buddha,  let me tell you there was no light difference w..."
"Nice product","Hello everyoneI am using this product for 2weeks and here are the things which I liked and the problems I faced1. If you are switching from a regular smartphone to the bezel less phone you might love this phone since it's having 6.3 inches IPS LCD capacitive touchscreen.2. Ads on MIUI are a bit irritating but it can be turned off when booting the phone for the first time.The ads however stays in some applications mainly those which are pre-installed and are non-removable.3. Redmi offers ..."
"Just wow!","astonished by the features I feel the product is underpriced due to the unique qualities it has.The camera in redmi note 7 pro is one of the Finest quality and love the pics taken from it. if you don't have high budget but still want the best camera phone, then this is one you must buy.The processor is very fast and display is full HD+ quality. In one word it's a Masterpiece guys. specially i love its night mode "
"Fabulous!","The phone is simply amazing. . the performance is great at the price range.. no lags nothing. Battery seems to average, lasts hardly a day. The camera is bit saturated. night mode is worse.Trust me it just some software issues.. google camera is mindblowing  in night mode. camera is still in beta i think.Mi team will fix the issues... But im statisfied with the phone. it does perform well in terms of camera than other phones. and has great performance abilities in terms of processing speeds.T..."
"Brilliant","extra ordinary mind blowing phone i ordered blue coloured phone and its look so glossy and stunning. Camera both front and back are perfect and awesome with both day and night conditions i got 6gb ram version phone after a long wait. Any way thanks to Xiaomi for making this budget friendly phones to us."
"Perfect product!","Just wow!!! From Mi4i to my all new classy Redmi Note 7 pro. Just amazing glossy design with beautiful gradient bluePurchased this mobile for the camera and Redmi has not let me down.  Rear camera has amazing details and you will get crisp detailed pictures. Night shots are also so natural and lovely. Am not a selfie lover,  so haven't tested the front camera yet. Snapdragon 675 works swifly enough with 6GB RAM and with 128G one need not worry about space.  Battery performance is su..."
"Classy product","just an amazing product u can check my last pic in which q mall is there if u zoom on that building u can clearly see the name of the building which is simply wow u can check my pics which I have uploaded... the pic which sky is captured u can easy visualize the star which is simply impossible for any general camera to capture such a tiny object like star to capture in the dark sky...u can also check the pic of the building in which u can clearly read the name written on in and j..."
"A great phone killed by an average selfie shooter","Again a new year a new phone. I skipped over 6 pro at it had not much to offer. But Note 7 Pro is a ultimate letdown, coming from Note 5 pro. Before you purchase you must consider the below cons -*** There is no refund policy. Hence once brought you cant get a refund. ***1. Front flash is gone. Your night selfies are a bust. That's the greatest bummer. Rather not have the water drop notch.2. Even if the flash is gone, the camera in the front should have been the same old 20 MP shooter. B..."
"Pretty good","I loved the detailing of the rear camera, the most important thing is that it supports Google Camera, which captures a far better and detailed images than the stock camera.(download google camera from 3rd party site). Got this 6gb variant after waiting for 1 month of sale...."
"Wonderful","Waited for this phone for about 3 months. and finally received today.  obviously I'm over excited for the phone. The phone is a good value for money as every body knows.  I always wanted to have a 128gb + 6gb option.  and this phone is best at this price. what I liked about the phone  1)notch which doesn't affect the notification area.  2)  notification led3) crisp display4)  Looks5) processor and ram ManagementI installed over 100 apps to check about the performance. though there were..."
"Delightful","Am pretty much upset that am not able get my favorite color  .  After one week usage, here's my reviews. pros:1.Nice display ad notch screen ads advantage to display.  It looks pretty cool. 2. software wise same performance looks like note 5.3. UI comes with older version need to update to latest one. updated one looks more effective then previous one. 4.Both cameras  are good. cons: 1. while playing online video scene will not cover full screen.  need to zoom in,  but some pa..."
"Perfect product!","redmi note 6 pro my first mi mobile aftr my sony xperia.. The camera just awesome.. Good display.. Good look.. I really loved it.."
"Terrific","Have been using the phone since the past week and am really happy with my purchase. Pros-1.Both the front and rear cameras are wonderful. 2. Sound quality is quite good. 3. Display quality very good. 4. Battery performance pretty good with 4000mah.5. Looks very sleek and is also very light. 6. Split screen feature good for using more than one app at a time. Cons-1. The box doesn't contain earphone. 2. The sim tray will either support one sim and a sd card or two sims. And if you wan..."
"Super!","My first Redmi Phone after moto X Play.Delieverd in just 6 hrs.Camera Quality is super. In low light also the snaps come fantastic. Will update more after usage.1) Premium touch. Ergonomic design2) Run smooth after Miui 10 update3) Battery Backup is wonderful4) Call quality is also nice5) Display is cristal clear6) Camera is decent in this segment. All 4 camera (2Front & 2       Rear) works fantastic.7) So many  productive ap installed by default. No need to use          3rd party ap..."
"Awesome","This phone is so good and this camera is very   clear and good capture wow"
"Terrific purchase","thanks flipkart for early delivery.phone is so good and performance is good so far.got the product in the morning 11am and after quiet heavy internet usage battery is going good, display quality is good, camera quality is good.value for money.. go for it without any hesitation.."
"Wonderful","This product is really good, given the price of Rs 12499 on which I bought it. I would like to list the Pros and Cons after 1 day of rigorous usage:Pros :1) Camera is amazing and really good portrait shots. In complete darkness, selfie camera even with the screen flash is able to capture very good image. Rear camera with dual LED flash is no doubt amazing.2) Battery is whopping 4000 mAh which is genuinely very good. It lasts much more than I thought.3) The processor SD 636 was being th..."
"Highly recommended","Xiaomi's Redmi Note series has always been a powerhouse product and Redmi Note 6 pro is no exception.Pros:- The display is nice with a notch as per 2018 trends.- 64 GB ROM/ 4 GB RAM memory combo is a fan favourite- 4000 mA battery lasts more than a day with good usage- Dual Camera at the front and back is a welcome combo and clicks great pictures.- 3.5 mm headphone jack is still present (skipped in Mi A2)Cons-- Qualcomm Snapdragon 636 processor (same as Note 5 pro)It should have b..."
"Excellent","Pros:+ Front and Rear Camera Quality is Excellent. you won't find better camera like this even at 18k. No Honor, RealMe phones beat this Camera Quality+ large Display..very bright and sharp.+ Protrait Mode on Both cameras is Awesome.+ Battery Performance is Excellent 5 Star rating.No heat.it charge 4000mAh battery in 90mins with bundled 5V/2A charger.Supports QC 3.0+ Smooth performance from SD636 coupled with 4GB RAM. Xiaomi explained why they had choosen SD636 Again in RN 6Pro+ Finger ..."
"Excellent","Ordered this mobile as I wanted to upgrade to a dual camera mobile.Thanks to flipkart I received the product just on the next day of ordering. Performing perfectly and as per the expectations as of now with following observations. Pros:1. Superb rear cam2. Good battery life3. big screen and fine resolution4. Sound quality is very fine in external as well as multiple options while using headphones5. Sufficient storage & memory spaceCons:1. I wanted to order 6GB RAM with blue or red c..."
"Mind-blowing purchase","awesome phone for this rate. good camera, good battery backup,... super phone."
"Excellent","great mobile using for the last 10 days, no issues found ... battery backup is awesome (7+ hours of screen on time). gaming is also good ( butter smooth gameplay in PUBG, Asphalt9).... camera is best in this price range. i love MIUI Than stock android........rear camera is better than realmi u1 and zenfone max pro. selfie is one of the best in this classi will recommend it for everyone"
"Best in the market!","My friend suggested me this phone and i must say its best phone under this budget,me and my father bought two phones on flipkart sale my first buy with flipkart got delivered in two days...Its great competion to all other top brands camera quality is execellent..Very happy.."
"Brilliant","Best device definitely a Value of money.Black phone looks much better and premium, Camera performance will amaze you specially of Night click see some my Camera snap, 6 GB RAM is good for huge app & game lover and no lag no heating issues. but 64 GB ROM is not good enough it could be 128 GB or with extra dedicated memory slot."
"Great product","Got it at a low price on Black Friday Sale. Used Note 5 Pro before this and here is my take on it.Camera is slightly better in some conditions. Struggles in low light as expected but improvement is visible. Best in range, no doubt. Great portraits using front cameras in the right conditions.Battery has never been an issue in Redmi Note Series. This one doesn't disappoint either. Full day usage for me with good amount of screen time.Performance is at par with Note 5 pro. Should have improve..."
"Worth every penny","Amazing SmartPhone With Amazing Battery...... Performance Is Too Good For This Much Money....... Super Fast As Well...... Just In The Mobile Case The Ejection Pin Was MissingCamera With AI Mode Is Mind Blowing And Portrait Mode Is Lit As ........ Loving MI Forever As Usual"
"Best in the market!","worth more that the value..  perfect for college student...  Reporting after 7 days use...  camera Worths..  battery backup worth..  storage worths.... ..  just in love with this redmi note 6 pro"
"Classy product","Best smartphone in the range.. could have been better if has dedicated SD card slot or 128gb storage variant.Anyhow nice look, performance, battery life lighting fast delivery.Nice camera."
"Must buy!","Highly RecommendedThis is a review which is being written in less than 24 hours of delivery and my phone is such an awesome gadget of all those that i have had.Works very smoothly.....with 6gb ram its smooth as butter.....face unlock feature is working at full efficiency and the camera is 20 megapixels of pure awesome.Flipkart delivered it within 24 hrs.The notch is something new for me so will take some time to get used to it but the specs on this gadget are amazing at this price range."
"Excellent","Value for money phone... best part of note 6 pro is its camera.. 12+5mp with Ai  and in front 20+2mp and tested Processor which also comes in note 5 pro and notch display  is new here.. which looks cool.... overall a good handset with premium looks... I bought 6gb variant which is more faster."
"Mind-blowing purchase","awesome phone for this rate. good camera, good battery backup,... super phone."
"Excellent","great mobile using for the last 10 days, no issues found ... battery backup is awesome (7+ hours of screen on time). gaming is also good ( butter smooth gameplay in PUBG, Asphalt9).... camera is best in this price range. i love MIUI Than stock android........rear camera is better than realmi u1 and zenfone max pro. selfie is one of the best in this classi will recommend it for everyone"
"Best in the market!","My friend suggested me this phone and i must say its best phone under this budget,me and my father bought two phones on flipkart sale my first buy with flipkart got delivered in two days...Its great competion to all other top brands camera quality is execellent..Very happy.."
"Brilliant","Best device definitely a Value of money.Black phone looks much better and premium, Camera performance will amaze you specially of Night click see some my Camera snap, 6 GB RAM is good for huge app & game lover and no lag no heating issues. but 64 GB ROM is not good enough it could be 128 GB or with extra dedicated memory slot."
"Great product","Got it at a low price on Black Friday Sale. Used Note 5 Pro before this and here is my take on it.Camera is slightly better in some conditions. Struggles in low light as expected but improvement is visible. Best in range, no doubt. Great portraits using front cameras in the right conditions.Battery has never been an issue in Redmi Note Series. This one doesn't disappoint either. Full day usage for me with good amount of screen time.Performance is at par with Note 5 pro. Should have improve..."
"Worth every penny","Amazing SmartPhone With Amazing Battery...... Performance Is Too Good For This Much Money....... Super Fast As Well...... Just In The Mobile Case The Ejection Pin Was MissingCamera With AI Mode Is Mind Blowing And Portrait Mode Is Lit As ........ Loving MI Forever As Usual"
"Must buy!","Highly RecommendedThis is a review which is being written in less than 24 hours of delivery and my phone is such an awesome gadget of all those that i have had.Works very smoothly.....with 6gb ram its smooth as butter.....face unlock feature is working at full efficiency and the camera is 20 megapixels of pure awesome.Flipkart delivered it within 24 hrs.The notch is something new for me so will take some time to get used to it but the specs on this gadget are amazing at this price range."
"Classy product","Best smartphone in the range.. could have been better if has dedicated SD card slot or 128gb storage variant.Anyhow nice look, performance, battery life lighting fast delivery.Nice camera."
"Terrific purchase","Dear Team, I received my product but  one side brand label cut. I am not satisfied with the product package. Only box covered in flipkart label. I trust flipkart brand and MI product. That's why I receive my courier. But I am not satisfied. Please avoid this type of errors. Thank you"
"Best in the market!","worth more that the value..  perfect for college student...  Reporting after 7 days use...  camera Worths..  battery backup worth..  storage worths.... ..  just in love with this redmi note 6 pro"
"Excellent","Very nice product by Xiaomi  Powerful performance  Long Battery Life  Outstanding Camera  Perfect & Reasonable Price "
"Nice product","Amazing phone for this price range. Absolutely value for money. Great battery as others note series. Camera quality is Great but camera app have so many bugs.  Phone becoming heat while using camera for more time.  Screen quality is better than previous note series. Xiaomi shall include a fast charger in the box.  It is too long time taken to get 100 charge. Expecting camera and software bug will ne fix by Xiaomi in next update."
"Brilliant","the phone is best at this price segment. the full hd + display is awesome. camera is mind blowing and capture some marvelous shots. it gives flagship features at best price"
"Great product","best phone ever. Love the fact that MI offers so much for a resonably good price. Thank you."
"Terrific","performance wise awesome no lag gaming speed is good eg pubg play in hd mode.pros:battery backup is awesomeperformance Snapdragon 675 design gradient colorwater drop notchquick charge supportcons:one thing rear camera is not so good ratings3 out of 5 but front camera is good overall performance is worthy for money 10/10"
"Excellent","CAMERA - Better picture quality than redmi note 5pro 6pro. Skin tone looks.like iphone, Samsung, sony camera. But needyo  improve Video recording quality.48mp not use for me. Night mode is good.Video recording gives Depth effect within 1 meter Object. DISPLAY_ look vibrant colors and warm tone display which is good.Performance is super. AWESOME DESIGN."
"Terrific","Got in first sale only .... Thank you Mi for such a good phone  Just loving it ! "
"Excellent","I was using Mi a1 before this device,  i was so impressed with that one because of the pure android experience and hardwares implemented by Xiaomi in that deviceafter the extensive use of 2 years of mi a1,  i had somuch expectations about my new device and that's why I choose note7pro and Xiaomi managed to fill my expectations. The hardware is so much appreciated in this price range, SD675, type c connectivity,  stunning design and display and ofcause the camera. I'm not a mobile photograph..."
"Awesome","I am writing this review after a usage of one month:pros:1. great camera (especially the night mode)2. battery is good. Lasts around a day and a half on normal usage3. processor is too good and that too at this price. It's absolutely lag free4. superb face unlock. unlocks in low lights as well, and it's very fast5. type C port is a great comfort with around 2 hrs of charging time with the provided charger6. notch is so small, that after a week or two, you don't even notice that there a..."
"Excellent","Xiaomi Redmi Note 7 ProWhen considering phones under 15,000, the Redmi Note 7 Pro seems more than good enough to suit most peoples needs. In fact, with the SD 675 and Sony IMX586 camera at an unprecedented price, it practically mops the floor with the current competition in the relevant price bracket (again, unless you have different specific requirements).At the same time, based on our Redmi Note 7 Pro experience, we wouldnt go as far as saying that the experience is sure to thwart all c..."
"Worth the money","Awesome phn,,,,camera quality perfect one,,,,nd rose gold color is fabulous ,,,looks classy "
"Brilliant","I have also using redmi y2 rosegold mobile.  this is my 2nd purchase on this redmi y2.  superb and best quality budget mobile.   thank you flipkart for the wonderful product."
"Perfect product!","prompt delivery... I love that.  phone looks good... light weight. worth to buy. this is first finger print scanner phone... my mom loves it... thank you flipkart for being part of my family tech upgrade "
"Brilliant","fully satisfied with the performance, very fast charging, camera quality is much better overall its a good product so far "
"Classy product","amazing product mi just like beauty more than plus product y2 nd thanku Flipkart fast delivery"
"Brilliant","It's good handset of redmi.I'm feeling better when hold it It have very good colour, design and build quality And best Value for money phone in 4GB RAM and 64 GB ROM."
"Fabulous!","I am a Samsung user and for the first time bought an Mi phone. I am sorry to say, in this price range, this phone is way better than any Samsung phones. Excellent camera, long battery life, wonderful touch and brilliant display will surely win one's heart. Nice product."
"Worth every penny","Good delivery time and product is also good no one can compare with flipkart. it is only a E commerce company who can do his work smartly great job flipkart"
"Highly recommended","Last month I bought redmi Y2 gold and very happy with flip kart to given me best price. it is nice smartphone go for it. I highly recommend flikpkart. once again thank you flipkart team."
"Nice","Camera is not goodAnd 2gb free ram is only available out of 4gbBut still is a good optionDue to its processor which is beat p22 which comes in most mobiles"
"Excellent","Guys i am writing this review after 48 hours of usgae.So that read first then buy if u want..I am a redmi user from last 5 years , so on basis on that i want to say that this phone is awesome.Display - 8/10, really good display but not amoloed.Front Camera - 7/10, go for note 7 pro for best camera.Rear Camera - 8/10, really good but not as 7 pro.Processor - 10/10, just excellent. 660@2.2gHzBattery - 8/10, whole day battery in heavy usage.Speakers - 8/10, just fine quality.User Interf..."
"Pretty good","Redmi note 7One day delivery :)Looks premium,feels good,Display looks fantastic, good colours.camera is quite good and satisfactory if there is proper light.Snapdragon 660 is an already proven tech no complains so far,4000mah battery is good enough. great phone for the price range. Earphone jack Sound quality is good could have had dedicated memory slotcould have given a more powerful charger. as it supports quick charge 4.0speakers aren't great."
"Worth the money","*nice phone *                                                                                   Here the detailed review of this phone                                                          Camera :8/10                                                                                Battery :9/10                                                                                  storage :9/10                                                                                  Display:9/10           ..."
"Highly recommended","Very osam redmi note 7 mobile, good color, good camera, , good  & nice screen, good  performance, value of money. Totally 10 of 10.. Thank you redmi"
"Brilliant","pretty good phone with good cameras and very good performance and good battery backup.worth buying."
"Excellent","I'm not much of a critic, but more of a fair reviewer. I'll put in some details as well. Let's get started. Btw, I have the 4GB ram variant and Onyx Black back. Camera:- Seriously, it is better than I expected. After going through a plethora of reviews regarding the sub-par and surprisingly pathetic performance of the Camera(and recommendations of buying Pro instead), I did not expect too much. But the Camera, for its price range as well as generally speaking, is quite good. Even the f..."
"Simply awesome","Good clarity of images, nice performance, overall good for 12k. worth of penny."
